C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,750,2.0,980.88,0.604,True,False,False,False,False,False
60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,1.0,5.0,700,1.0,1073.0,0.618,False,False,True,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800,1.0,1554.55,0.65,False,False,True,False,False,False
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,550,1.5,1012.28,0.669,True,False,False,False,False,False
74.56,0.0,25.09,0.0,0.22,,,,1.0,2.5,500,1.0,1321.0,0.67,True,False,False,False,False,False
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,550,3.0,1061.32,0.683,True,False,False,False,False,False
61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,850,2.0,1390.2,0.7,False,False,True,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,600,1.0,1153.0,0.701,False,False,False,False,False,True
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,650,2.0,1013.87,0.707,True,False,False,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,400,1.0,1297.0,0.72,False,False,False,False,False,True
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900,1.0,892.51,0.72,False,False,False,False,True,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800,1.0,1377.88,0.72,False,False,False,False,True,False
61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,1.0,10.0,750,2.0,1440.6,0.72,False,False,True,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700,1.0,1704.43,0.72,False,True,False,False,False,False
61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,650,2.0,1575.5,0.73,False,False,True,False,False,False
61.05,7.08,30.92,0.95,0.0,63.68,3.9,29.28,1.0,20.0,750,4.0,1461.0,0.75,False,False,True,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900,1.0,1404.56,0.76,False,False,True,False,False,False
63.7,4.8,26.3,0.4,0.0,51.19,0.04,46.49,1.0,,800,2.0,1655.0,0.77,False,False,True,False,False,False
60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,1.0,5.0,800,1.0,1109.0,0.785,False,False,True,False,False,False
64.91,7.34,19.82,0.26,7.67,48.66,4.03,34.57,1.0,,700,1.0,1585.0,0.79,False,True,False,False,False,False
63.21,5.6,27.78,0.19,3.22,,,,1.0,10.0,800,2.0,1560.0,0.8,False,False,True,False,False,False
64.91,7.34,19.82,0.26,7.67,48.66,4.03,34.57,1.0,,700,1.0,1191.0,0.82,False,False,True,False,False,False
61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,5.0,10.0,750,2.0,1581.8,0.82,False,False,True,False,False,False
56.2,6.0,34.2,3.60,0.0,,,,1.0,10.0,800,2.0,1562.0,0.84,False,False,True,False,False,False
63.21,5.6,27.78,0.19,3.22,,,,1.0,10.0,800,2.0,1687.0,0.86,False,True,False,False,False,False
74.56,0.0,25.09,0.0,0.22,,,,2.0,2.5,350,1.0,1526.0,0.86,True,False,False,False,False,False
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,450,2.0,1084.76,0.862,True,False,False,False,False,False
74.56,0.0,25.09,0.0,0.22,,,,3.0,2.5,350,1.5,1480.0,0.89,True,False,False,False,False,False
