,C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2,Label_biomass,Label_lignin
41,45.83,6.29,47.48,0.4,0.0,79.31,1.088,19.6,2.0,10.0,400.0,1.0,2184.21,1.349,True,False,False,False,False,False,True,False
42,45.83,6.29,47.48,0.4,0.0,79.31,1.088,19.6,3.0,10.0,400.0,1.0,2500.0,1.3698,True,False,False,False,False,False,True,False
43,56.5,7.2,34.0,2.0,0.3,72.09,1.71,26.2,3.0,10.0,550.0,2.0,982.0,1.42,True,False,False,False,False,False,True,False
44,56.5,7.2,34.0,2.0,0.3,72.09,1.71,26.2,3.0,10.0,450.0,2.0,1111.0,1.54,True,False,False,False,False,False,True,False
45,56.5,7.2,34.0,2.0,0.3,72.09,1.71,26.2,3.0,10.0,500.0,2.0,1139.0,1.6,True,False,False,False,False,False,True,False
46,45.83,6.29,47.48,0.4,0.0,79.31,1.088,19.6,4.0,10.0,400.0,1.0,2807.545,1.724,True,False,False,False,False,False,True,False
47,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,684.2105,0.2678,True,False,False,False,False,False,False,True
48,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,684.21,0.27,True,False,False,False,False,False,False,True
49,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,719.3,0.31,True,False,False,False,False,False,False,True
50,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,719.298,0.3107,True,False,False,False,False,False,False,True
51,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,798.25,0.32,True,False,False,False,False,False,False,True
52,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,798.2456,0.3214,True,False,False,False,False,False,False,True
53,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,350.0,2.0,617.51,0.333,True,False,False,False,False,False,False,True
54,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,947.368,0.4071,True,False,False,False,False,False,False,True
55,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,947.37,0.41,True,False,False,False,False,False,False,True
56,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,1026.32,0.45,True,False,False,False,False,False,False,True
57,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,1026.315,0.45,True,False,False,False,False,False,False,True
58,61.6,6.0,31.1,1.1,0.2,64.62,4.62,28.06,3.0,10.0,500.0,2.0,559.0,0.45,True,False,False,False,False,False,False,True
59,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,0.4,5.0,550.0,2.0,988.36,0.502,True,False,False,False,False,False,False,True
60,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,550.0,2.5,1128.42,0.569,True,False,False,False,False,False,False,True
61,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,0.6,5.0,550.0,2.0,991.49,0.599,True,False,False,False,False,False,False,True
62,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,750.0,2.0,980.88,0.604,True,False,False,False,False,False,False,True
63,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,550.0,1.5,1012.28,0.669,True,False,False,False,False,False,False,True
64,74.56,0.0,25.09,0.0,0.22,64.62,4.62,28.06,1.0,2.5,500.0,1.0,1321.0,0.67,True,False,False,False,False,False,False,True
65,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,550.0,3.0,1061.32,0.683,True,False,False,False,False,False,False,True
66,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,650.0,2.0,1013.87,0.707,True,False,False,False,False,False,False,True
67,74.56,0.0,25.09,0.0,0.22,64.62,4.62,28.06,2.0,2.5,350.0,1.0,1526.0,0.86,True,False,False,False,False,False,False,True
68,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,450.0,2.0,1084.76,0.862,True,False,False,False,False,False,False,True
69,74.56,0.0,25.09,0.0,0.22,64.62,4.62,28.06,3.0,2.5,350.0,1.5,1480.0,0.89,True,False,False,False,False,False,False,True
70,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,0.8,5.0,550.0,2.0,1133.43,0.895,True,False,False,False,False,False,False,True
71,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,550.0,2.0,1215.82,0.975,True,False,False,False,False,False,False,True
72,74.56,0.0,25.09,0.0,0.22,64.62,4.62,28.06,2.0,2.5,400.0,2.0,1956.0,1.14,True,False,False,False,False,False,False,True
73,74.56,0.0,25.09,0.0,0.22,64.62,4.62,28.06,3.0,2.5,400.0,1.5,1871.0,1.2,True,False,False,False,False,False,False,True
74,74.56,0.0,25.09,0.0,0.22,64.62,4.62,28.06,2.0,2.5,450.0,1.5,2015.0,1.2,True,False,False,False,False,False,False,True
75,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.2,5.0,550.0,2.0,1086.51,1.2,True,False,False,False,False,False,False,True
76,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.4,5.0,550.0,2.0,1050.04,1.205,True,False,False,False,False,False,False,True
77,60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.6,5.0,550.0,2.0,983.58,1.218,True,False,False,False,False,False,False,True
78,74.56,0.0,25.09,0.0,0.22,64.62,4.62,28.06,3.0,2.5,450.0,1.0,1869.0,1.39,True,False,False,False,False,False,False,True
79,74.56,0.0,25.09,0.0,0.22,64.62,4.62,28.06,3.0,2.5,500.0,2.0,1790.0,1.46,True,False,False,False,False,False,False,True
80,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,0.25,7.0,600.0,1.0,33.0,0.1115,False,True,False,False,False,False,True,False
81,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,1.0,7.0,600.0,1.0,358.0,0.112,False,True,False,False,False,False,True,False
